main_url,main_ip,connect_url,connect_ip,keywords,banner_count
11.xn--he5b93brek8q.com,211.234.116.182,None,None,None,0
1004x.1004tsts.com,103.1.250.175,None,None,None,0
1004cube.com,104.21.91.145,None,None,None,0
1004ses.com,104.21.73.111,None,None,None,0
1004snwo.com,52.197.21.169,None,None,None,0
bbga1.com,172.67.131.133,None,None,None,0
bamsarang1.me,104.21.57.43,None,None,None,0
69bam2.me,172.67.212.130,None,None,None,0
69bam1.me,104.21.24.145,None,None,None,0
69bam3.me,172.67.130.240,None,None,None,0
dojun1.com,172.67.128.21,None,None,None,0
gmtv3.com,104.21.77.162,None,None,None,0
bame.co.kr,106.249.25.84,None,None,None,0
goza1.com,104.21.32.105,None,None,None,0
fr-71.com,172.67.186.181,None,None,None,0
aone18.com,67.43.227.84,None,None,None,0
bp-5566.com,172.67.133.17,None,None,None,0
hoxyna5.com,199.59.242.153,None,None,None,0
mall.thesexymall.co.kr,183.111.199.227,None,None,None,0
hoxyna5.net,185.107.56.194,None,None,None,0
marlboro3.live,165.160.15.20,None,None,None,0
moatv01.com,172.67.162.85,None,None,None,0
ming-ky.net,104.21.41.234,None,None,None,0
frz11.com,104.21.14.244,None,None,None,0
longlongtv.net,172.67.185.243,None,None,None,0
nb-fo.com,104.21.80.53,None,None,None,0
namedtoon58.com,104.26.15.51,None,None,None,0
nb-we.com,107.154.131.52,None,None,None,0
nb-rd.com,107.154.77.88,None,None,None,0
opgram23.com,18.180.136.134,None,None,None,0
play.sbs.co.kr,54.230.62.28,None,None,None,0
partner.rosetv.co.kr,220.73.161.31,None,None,None,0
hostinfo.cafe24.com,183.111.161.178,None,None,None,0
dhl1004.com,104.21.51.49,None,None,None,0
sns-x3.com,172.67.138.110,None,None,None,0
safe.ggongt.com,209.99.64.43,None,None,None,0
sns-a7.com,104.21.25.118,None,None,None,0
sexbam11.me,104.21.49.211,None,None,None,0
tsgirl.net,172.67.154.37,None,None,None,0
soul-88.com,182.23.208.138,None,None,None,0
sns-x5.com,104.21.59.62,None,None,None,0
ssongssong23.net,192.74.252.131,None,None,None,0
www.1004mam.com,104.21.42.94,None,None,None,0
www.bo-zi21.net,172.67.213.85,None,None,None,0
www.cast-aa.com,18.180.7.120,None,None,None,0
www.smdozen1.top,192.74.230.102,kkpp77.xyz,35.169.225.248,사이트+성인+구매,4
www.smdozen1.top,192.74.230.102,win-yamato1.com,103.31.13.244,코드+최대+무료,4
www.gaogaoxing.com,203.245.24.16,None,None,None,0
www.smdozen1.top,192.74.230.102,www.aazi519.com,107.154.251.33,가입+스포츠+신규+국내+지급+포커+쿠폰+파워볼+신규가입+슬롯+CASINO,4
www.dojun1.com,104.21.0.145,None,None,None,0
www.smdozen1.top,192.74.230.102,www.aazi519.com,107.154.251.33,가입+스포츠+신규+국내+지급+포커+쿠폰+파워볼+신규가입+슬롯+CASINO,4
www.ktv-tv13.org,172.67.215.84,None,None,None,0
www.ktv-tv8.org,172.67.220.69,None,None,None,0
tazotv23.com,134.122.147.6,mvp35.com,172.67.155.243,카지노+라이브+호텔+안전+이벤트+게임+사이트+최고+진행+호텔카지노+베팅+세계+시스템+클릭+포인트+이브+슬롯+CASINO,5
www.ktv-tv9.org,104.21.61.250,None,None,None,0
tazotv23.com,134.122.147.6,cns442.com,13.112.4.33,코드+가입+카지노+스포츠+이벤트+매충+다양+실시간+시간+추천,5
www.ktv-kk4.net,172.67.195.121,None,None,None,0
www.ktv-tv10.org,172.67.184.240,None,None,None,0
www.ktv-tv12.org,104.21.70.204,None,None,None,0
www.kongdda1.net,104.21.93.5,None,None,None,0
goguma.tv,118.107.15.2,refpa.top,83.147.204.15,게임+BET,2
www.ktv-tv11.org,172.67.222.169,None,None,None,0
tazotv23.com,134.122.147.6,yhs63.com,172.67.196.182,카지노+이벤트+매충+다양,5
goguma.tv,118.107.15.2,gogumaplayer.com,134.122.147.6,영상+배송,2
tazotv23.com,134.122.147.6,mvp35.com,172.67.155.243,카지노+이벤트+최고+진행,5
tazotv23.com,134.122.147.6,znn36.com,13.231.169.8,카지노+신규+메이저+이벤트+지급+최대+쿠폰+주말+추천+출석,5
www.aazi519.com,107.154.251.33,None,None,None,0
www.mintelly.com,216.58.197.179,None,None,None,0
www.ssultv.com,222.239.176.253,None,None,None,0
ww1.sinktv.com,91.195.240.136,None,None,None,0
www.xn--pq1bj6fu7a45dt3r.com,112.175.50.163,None,None,None,0
xn--qh3bx4o.net,172.67.134.190,None,None,None,0
yug-no.com,54.250.219.191,None,None,None,0
zess1.com,172.67.146.153,None,None,None,0
445jung2.com,104.21.60.10,t-back222.COM,104.21.21.145,코드+신규+배당+이벤트+매충+배팅+최고+실시간+매출+매일+시간+단폴+크로스,4
445jung2.com,104.21.60.10,t-back222.COM,104.21.21.145,코드+신규+배당+이벤트+매충+배팅+최고+실시간+매출+매일+시간+단폴+크로스,4
445jung2.com,104.21.60.10,t-back222.COM,104.21.21.145,코드+신규+배당+이벤트+매충+배팅+최고+실시간+매출+매일+시간+단폴+크로스,4
445jung2.com,104.21.60.10,t-back222.COM,104.21.21.145,코드+신규+배당+이벤트+매충+배팅+최고+실시간+매출+매일+시간+단폴+크로스,4
t-back222.COM,104.21.21.145,None,None,None,0
99zzz.net,172.67.214.204,None,None,None,0
adulti148.com,198.54.117.244,None,None,None,0
animart1.com,172.67.222.144,xn--bb0bw4mv4ddwc5wkn3lzkr.com,104.21.74.252,코드+카지노+스포츠+배당+사이트+배팅+최고+인증+제한+공식,21
animart1.com,172.67.222.144,xn--o79a711bszdtua70d.com,172.67.187.246,코드+카지노+스포츠+배당+게임+최고+공식+무한,21
animart1.com,172.67.222.144,홀짝주소.com,172.67.161.244,전용+배팅+무제+제한+무제한+파워볼,21
aqstream.com,104.21.86.212,None,None,None,0
atime2.club,172.67.137.245,noticesite.me,172.67.151.15,렌트+토렌트,4
animart1.com,172.67.222.144,shn-100.com,172.67.170.133,코드+가입+스포츠+라이브+가능+배팅+실시간+제재+시간+오버+단폴+중계+배팅가능+이브+크로스,21
atime2.club,172.67.137.245,noticesite.me,172.67.151.15,티비,4
animart1.com,172.67.222.144,modo11.com,54.248.67.96,코드+카지노+스포츠+실시간+제재+시간+모든,21
atime2.club,172.67.137.245,linkk.club,104.21.51.147,링크+모든,4
animart1.com,172.67.222.144,wb-bk.com,18.178.147.215,코드+카지노+스포츠+라이브+전용+고액+상한+호텔+국내+돌발+놀이터+해외+배당+천만+국내배당+돌발+천만원고액전용+스포츠상한+매출+해외+놀이터코드+이브+이터+BET,21
atime2.club,172.67.137.245,hnq18.top,23.225.152.143,업체+사이트+지급+인증+모든+상품+구매+비아그라+야동,4
animart1.com,172.67.222.144,newmcj.com,104.21.66.151,매일,21
animart1.com,172.67.222.144,mexppp.com,172.67.146.88,코드+가입+스포츠+상한+업체+게임+매충+사이트+미니+환전+미니게임+무제+검증+제한+무제한+전무+상한가+완료+전문,21
animart1.com,172.67.222.144,aone-45.com,104.21.23.57,코드+가입+스포츠+게임+미니+제재+미니게임+무제+오버+핸디캡+루틴+각종,21
animart1.com,172.67.222.144,b-time113.com,107.154.77.30,코드+베팅,21
animart1.com,172.67.222.144,an-29.com,104.21.47.4,코드+가입+카지노+이벤트+진행+가지+자동+크로스,21
animart1.com,172.67.222.144,soul-88.com,182.23.208.138,카지노+라이브+호텔+게임+지급+미니+미니게임+매일+정식+이브+슬롯,21
animart1.com,172.67.222.144,www.trust-toto.com,172.67.136.129,코드+카지노+배당+매충+최고+실시간+시간+업계,21
animart1.com,172.67.222.144,pandora-club.com,104.21.34.97,스포츠+라이브+지급+머니+제휴+파워볼+중계+이브,21
animart1.com,172.67.222.144,truemoa3.com,104.21.34.24,먹튀+렌트+토렌트+웹툰+업소,21
animart1.com,172.67.222.144,www.mango20.net,104.21.3.87,사이트+총집합+야동,21
animart1.com,172.67.222.144,uuzoa16.com,172.67.153.220,사이트+업계+업소,21
animart1.com,172.67.222.144,webtoon.forward-links.com,104.21.32.29,무료+웹툰,21
animart1.com,172.67.222.144,mana.forward-links2.com,104.21.87.173,무료,21
avmany4.com,172.67.137.233,None,None,None,0
animart1.com,172.67.222.144,tv.forward-links.com,104.21.32.29,무료+티비,21
animart1.com,172.67.222.144,ani.forward-links.com,104.21.32.29,무료+애니,21
noticesite.me,172.67.151.15,None,None,None,0
an-29.com,104.21.47.4,None,None,None,0
pandora-club.com,104.21.34.97,None,None,None,0
redmu.live,104.21.54.92,www.mango20.net,104.21.3.87,사이트+총집합+야동,4
redmu.live,104.21.54.92,filemong.com,43.255.252.152,가입+무료+성인+모든+영상+즉시+포인트+애니,4
redmu.live,104.21.54.92,www.momo111.com,104.22.20.248,CASINO+SPORT,4
www.mango20.net,104.21.3.87,xn--hy1bs7hc5buzr.com,172.67.9.202,코드+카지노+게임+미니+미니게임+슬롯,14
redmu.live,104.21.54.92,bettman.net,172.67.171.196,안전+이벤트+먹튀+토토+추천+커뮤니티+회원+이터+BET,4
www.mango20.net,104.21.3.87,bmtgr-10.com,18.178.131.41,코드+가입+가입코드+BET,14
www.mango20.net,104.21.3.87,curekr.com,172.67.205.31,무한+BET,14
www.mango20.net,104.21.3.87,xn--om2bk9fm4f1uf.com,104.18.22.64,코드+실시간+매일+시간+크로스,14
www.mango20.net,104.21.3.87,dn-ao.com,172.67.152.28,코드+가입+가입코드,14
tvland23.com,172.67.137.47,xn--bb0bw4mv4ddwc5wkn3lzkr.com,104.21.74.252,코드+카지노+스포츠+배당+사이트+배팅+최고+인증+제한+공식,21
www.mango20.net,104.21.3.87,bis7733.com,172.67.150.64,신규+돌발+매충+돌발+최대+무한,14
tvland23.com,172.67.137.47,xn--o79a711bszdtua70d.com,172.67.187.246,코드+카지노+스포츠+배당+게임+최고+공식+무한,21
www.mango20.net,104.21.3.87,nb-rf.com,107.154.131.52,코드,14
protoon51.com,104.21.0.236,xn--bb0bw4mv4ddwc5wkn3lzkr.com,104.21.74.252,코드+카지노+스포츠+배당+사이트+배팅+최고+인증+제한+공식,22
tvland23.com,172.67.137.47,홀짝주소.com,172.67.161.244,전용+배팅+무제+제한+무제한+파워볼,21
www.mango20.net,104.21.3.87,ten-1056.com,18.178.212.159,코드+가입+카지노+스포츠+라이브+호텔+가입코드+포커+인플레이+유럽식+유럽식스포츠+라이브포커+호텔카지노+이브,14
protoon51.com,104.21.0.236,wb-tt.com,18.178.147.215,코드+스포츠+라이브+전용+고액+상한+국내+돌발+놀이터+해외+배당+안전+메이저+천만+국내배당+돌발+천만원고액전용+스포츠상한+해외+이브+이터+BET+SPORT,22
tvland23.com,172.67.137.47,shn-100.com,172.67.170.133,코드+가입+스포츠+라이브+가능+배팅+실시간+제재+시간+오버+단폴+중계+배팅가능+이브+크로스,21
www.mango20.net,104.21.3.87,wb-tt.com,18.178.147.215,코드+카지노+스포츠+라이브+전용+고액+상한+호텔+국내+놀이터+해외+배당+안전+메이저+천만+국내배당+천만원고액전용+스포츠상한+해외+이브+이터,14
protoon51.com,104.21.0.236,ten-1056.com,18.178.212.159,가입+카지노+스포츠+라이브+전용+고액+상한+호텔+매충+포커+노리+인플레이+스포츠상한+유럽식+라이브포커+호텔카지노+고액전용노리터+이브+BET,22
tvland23.com,172.67.137.47,wb-ct.com,18.178.147.215,코드+카지노+스포츠+라이브+전용+고액+상한+호텔+국내+돌발+놀이터+해외+배당+천만+국내배당+돌발+천만원고액전용+스포츠상한+매출+해외+놀이터코드+이브+이터+BET,21
www.mango20.net,104.21.3.87,newmcj.com,104.21.66.151,가입+매일,14
protoon51.com,104.21.0.236,nb-rv.com,107.154.131.77,코드+가입+호텔+가입코드+문의+게임+최대+환전+무제+제한+무제한+입금+전무+각종,22
tvland23.com,172.67.137.47,newmcj.com,104.21.66.151,매일,21
www.mango20.net,104.21.3.87,dhlok.com,14.128.149.210,가입+머니+가입머니,14
protoon51.com,104.21.0.236,xn--o79a711bszdtua70d.com,172.67.187.246,코드+카지노+스포츠+배당+게임+최고+공식+무한,22
tvland23.com,172.67.137.47,aone-45.com,172.67.209.59,코드+가입+스포츠+게임+미니+제재+미니게임+무제+오버+핸디캡+루틴+각종,21
www.mango20.net,104.21.3.87,sb1-5.com,103.96.3.76,코드+가입+가입코드+게임+다양+단폴+파워볼+크로스+BET,14
protoon51.com,104.21.0.236,newmcj.com,104.21.66.151,매일,22
tvland23.com,172.67.137.47,b-time113.com,107.154.77.30,코드+베팅,21
www.mango20.net,104.21.3.87,il119.com,13.56.205.103,가입+가지+보기+회원,14
protoon51.com,104.21.0.236,dhlok.com,14.128.149.210,코드+가입+매일+무한,22
tvland23.com,172.67.137.47,an-29.com,104.21.47.4,코드+가입+카지노+이벤트+진행+가지+자동+크로스,21
www.mango20.net,104.21.3.87,cafe.naver.com,210.89.168.66,스포츠+국내+해외+사이트+정보+해외+분석+전문,14
protoon51.com,104.21.0.236,sun-4353.com,18.178.147.215,카지노+스포츠+라이브+호텔+이벤트+게임+쿠폰+가지+호텔카지노+각종+포인트+이브+슬롯+CASINO,22
tvland23.com,172.67.137.47,soul-88.com,182.23.208.138,카지노+라이브+호텔+게임+지급+미니+미니게임+매일+정식+이브+슬롯,21
protoon51.com,104.21.0.236,aone-45.com,172.67.209.59,코드+가입+스포츠+게임+미니+제재+미니게임+무제+오버+핸디캡+루틴+각종,22
tvland23.com,172.67.137.47,www.trust-toto.com,172.67.136.129,코드+카지노+배당+매충+최고+실시간+시간+업계,21
protoon51.com,104.21.0.236,an-29.com,104.21.47.4,코드+가입+카지노+이벤트+진행+가지+자동+크로스,22
tvland23.com,172.67.137.47,www.momo111.com,104.22.20.248,BET,21
xn--om2bk9fm4f1uf.com,104.18.22.64,None,None,None,0
protoon51.com,104.21.0.236,soul-88.com,182.23.208.138,카지노+라이브+호텔+게임+지급+미니+미니게임+매일+정식+이브+슬롯,22
tvland23.com,172.67.137.47,modo11.com,54.248.67.96,코드+카지노+스포츠+실시간+제재+시간+모든,21
protoon51.com,104.21.0.236,www.trust-toto.com,172.67.136.129,코드+카지노+배당+매충+최고+실시간+시간+업계,22
tvland23.com,172.67.137.47,pandora-club.com,104.21.34.97,스포츠+라이브+지급+머니+제휴+파워볼+중계+이브,21
avshow05.me,91.195.240.12,None,None,None,0
protoon51.com,104.21.0.236,po-kk.com,111.92.247.222,코드+가입+가입코드,22
tvland23.com,172.67.137.47,truemoa3.com,104.21.34.24,먹튀+렌트+토렌트+웹툰+업소,21
bam103co.com,172.67.155.193,None,None,None,0
bam102co.com,104.21.93.217,None,None,None,0
protoon51.com,104.21.0.236,www.ssr777.com,172.67.214.48,업체+지급+정식+입금+라이센스+CASINO,22
tvland23.com,172.67.137.47,www.mango20.net,104.21.3.87,사이트+총집합+야동,21
protoon51.com,104.21.0.236,pandora-club.com,104.21.34.97,스포츠+라이브+지급+머니+제휴+파워볼+중계+이브,22
tvland23.com,172.67.137.47,uuzoa16.com,172.67.153.220,사이트+업계+업소,21
protoon51.com,104.21.0.236,truemoa3.com,104.21.34.24,먹튀+렌트+토렌트+웹툰+업소,22
tvland23.com,172.67.137.47,webtoon.forward-links.com,104.21.32.29,무료+웹툰,21
protoon51.com,104.21.0.236,www.mango20.net,104.21.3.87,사이트+총집합+야동,22
tvland23.com,172.67.137.47,mana.forward-links2.com,104.21.87.173,무료,21
protoon51.com,104.21.0.236,uuzoa16.com,172.67.153.220,사이트+업계+업소,22
tvland23.com,172.67.137.47,tv.forward-links.com,104.21.32.29,무료+티비,21
tvland23.com,172.67.137.47,ani.forward-links.com,104.21.32.29,무료+애니,21
protoon51.com,104.21.0.236,webtoon.forward-links.com,104.21.32.29,무료+웹툰,22
protoon51.com,104.21.0.236,mana.forward-links2.com,104.21.87.173,무료,22
protoon51.com,104.21.0.236,tv.forward-links.com,104.21.32.29,무료+티비,22
protoon51.com,104.21.0.236,ani.forward-links.com,104.21.32.29,무료+애니,22
bam100co.com,104.21.56.192,None,None,None,0
sb1-5.com,103.96.3.76,None,None,None,0
bis7733.com,172.67.150.64,None,None,None,0
bam88co.com,104.21.8.198,None,None,None,0
bam85co.com,172.67.201.168,None,None,None,0
bam84co.com,172.67.174.220,None,None,None,0
bam104co.com,172.67.201.60,None,None,None,0
bam107co.com,104.21.80.27,None,None,None,0
bam105co.com,104.21.86.48,None,None,None,0
bam86co.com,172.67.147.43,None,None,None,0
bam87co.com,172.67.189.133,None,None,None,0
twitter.com,104.244.42.193,None,None,None,0
bam89co.com,172.67.198.7,None,None,None,0
bam91co.com,172.67.146.239,None,None,None,0
